Location,Cat_C
Mexico City,0.2385272933
Mexico City,0.2385272933
Dalaman Airport,1.052994051
Cheongju,1.686358375
Bourgas,0.2152301119
Paderborn,1.027319984
Trondheim,1.589751501
Reus,1.717180383
Chubu,1.24103079
Fuerteventura,1.157851709
Jeddah,0.2054367573
Basseterre (Saint Kitts),1.084827665
Kayseri Airport,0.9349691976
Sevilla,1.258427783
Tenerife,0.0004411610742
Abidjan,0.8973644823
Dalaman Airport,1.052994051
Dalaman Airport,1.052994051
Cheongju,1.686358375
Ulaanbaatar,0.0888879898
Medina,0.4718848719
Tirana,0.1402701332
Mexico City,0.2385272933
Krasnoyarsk,0.006658729922
Mexico City,0.2385272933
Kutahya Airport,0.4090864169
Basseterre (Saint Kitts),1.084827665
Hanoi,0.5826547729
Dubai,1.515168748
Nice,1.088374707
Montego Bay,1.301444671
Aswan,1.480854199
Macau,0.6771237964
Buenos Aires Aeroparque,0.04721051746
Corfu,0.6145977681
Perth,1.405656514
Edinburgh,1.269674668
Guadalajara,0.02622714002
Dubai,1.515168748
Nice,1.088374707
Dubai,1.515168748
Birmingham,1.136442734
Addis Ababa,2.65541043
Moscow - Vnukovo,0.1127165655
Hanoi,0.5826547729
Barcelona,1.459222
Macau,0.6771237964
Douala,2.83017466
Addis Ababa,2.65541043
Piarco,1.836172017
Sanya Fenghuang,0.1190303431
Bari,0.5248511261
Dubai,1.515168748
Montego Bay,1.301444671
Addis Ababa,2.65541043
Dubai,1.515168748
Ouarzazate,0.2779803891
Zaporizhya,10
Essaouira,0.2647015076
Abu Dhabi,1.186127815
Busan - Kimhae,1.879322242
Lagos,1.364919522
Antalya Airport,0.6962273972
Duesseldorf,0.9614019588
Oranjestad,0.6674931594
Kos,0.8582194649
Rome Fiumicino,0.9165775278
Mykonos,0.6319563067
Stuttgart,0.8278721562
Ouarzazate,0.2779803891
Fuzhou Changle,0.620343248
Antalya Airport,0.6962273972
Colombo,0.3735330654
Alicante,1.548582844
Liverpool,0.9204917942
Antalya Airport,0.6962273972
Colombo,0.3735330654
Los Cabos,0.6236109757
Monastir,0.8121312867
Ouarzazate,0.2779803891
Sao Paulo - Guarulhos,1.210241006
Helsinki-Vantaa,0.5499628636
Antalya Airport,0.6962273972
Porto Alegre,0.5910200812
Antalya Airport,0.6962273972
Oujda,2.9123408
Oslo,1.356286487
Zia,1.64188008
Zia,1.64188008
Paris Charles De Gaulle,1.072053472
Marrakech,2.475260288
Ras El Khaymah,0.05089244877
Dar Es Salaam,3.092885547
Windhoek,0.2574304008
Oujda,2.9123408
Leeds Bradford,1.062982148
Vienna,0.7438231123
Oujda,2.9123408
La Romana,0.4366087021
Voronezh,10
Brussels,1.891281189
Brussels,1.891281189
La Romana,0.4366087021
Puerto Vallarta,1.169519741
Hannover,1.218335635
Nis,0.4979557953
Paris Charles De Gaulle,1.072053472
Rabat,3.207918598
Rabat,3.207918598
Bridgetown,1.314346136
Tokyo - Narita,1.444837879
Madrid Barajas,1.366341702
Sharjah,1.13082758
Madrid Barajas,1.366341702
Pointe-a-Pitre,2.136405462
Izmir Airport,0.697886658
Valencia,1.084426251
Fukuoka,1.057981884
London City,1.757892944
Shanghai Pudong,1.236669917
Mahon Airport,1.997327081
Guangzhou Baiyun,1.211533169
RIYADH,0.8485624614
Beijing,1.19159405
Punta Cana - Higuey,1.112599668
Gerona,1.838531966
